 Lista de Imóveis da Caixa;;Data de geração:;06/03/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
 8787703596547 ;SC ;CHAPECO ;SANTO ANTONIO ;RUA IVETE MARIA CUNICO, N. 260D, Apto 101, BL C ;215.000,00;215.000,00;0.00;Não;Apartamento, 67.62 de área total, 47.55 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703596547
 8787706939313 ;SC ;CHAPECO ;SANTO ANTONIO ;RUA IVETE MARIA CUNICO, N. 197-D, Apto 404, BL E VAGA E404 ;214.750,00;214.750,00;0.00;Não;Apartamento, 67.64 de área total, 44.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706939313
 8787706712904 ;SC ;CHAPECO ;PARAISO ;RUA DAS MARGARIDAS, N. 485E, Apto 104B, BL B, PAV.1, VG BOX22 ;408.000,00;408.000,00;0.00;Não;Apartamento, 98.29 de área total, 62.27 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706712904
 8787712548231 ;SC ;CHAPECO ;DESBRAVADOR ;RUA REGINA MATIELLO TAUFFER, N. 565D, Apto 102, BL F ;226.000,00;226.000,00;0.00;Não;Apartamento, 68.32 de área total, 44.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712548231
 1444424075671 ;SC ;CONCORDIA ;CENTRO ;RUA 29 DE JULHO, N. 260, Apto 31, ;560.000,00;560.000,00;0.00;Não;Apartamento, 0.00 de área total, 61.14 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444424075671
 8787700933445 ;SC ;CRICIUMA ;FABIO SILVA ;RUA ZELIO PAULO GALLI, N. SN, Apto 301, BL 15 ;111.212,08;184.000,00;39.56;Não;Apartamento, 59.97 de área total, 52.81 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700933445
 8787702426788 ;SC ;CRICIUMA ;LARANJINHA ;R CAETANO RONCHI, N. 1100, Apto 111, ;116.160,37;165.000,00;29.60;Não;Apartamento, 60.61 de área total, 52.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702426788
 8787711492704 ;SC ;CRICIUMA ;VILA FLORESTA ;R FELIPE COLOMBO, N. 280, Apto 301, BL 5 ;133.181,28;180.000,00;26.02;Não;Apartamento, 50.07 de área total, 43.12 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711492704
 1555517895590 ;SC ;CRICIUMA ;LARANJINHA ;RUA ANTONIO SERAFIM, N. 768, AREA 2 ;250.000,00;250.000,00;0.00;Não;Casa, 0.00 de área total, 73.83 de área privativa, 443.16 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555517895590
 8555530584568 ;SC ;CRICIUMA ;ARGENTINA ;RUA DAS ORQUIDEAS, N. 380, Apto 404, BL 01 ;180.000,00;180.000,00;0.00;Não;Apartamento, 55.47 de área total, 49.53 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530584568
